id_Anel1,ID_Anel_Anel1,ID_Frag_1_Anel1,ID_Frag_2_Anel1,ID_Frag_3_Anel1,ID_Ponte,id_Anel2,ID_Anel_Anel2,ID_Frag_1_Anel2,ID_Frag_2_Anel2,ID_Frag_3_Anel2,smiles,lambda_max_previsto,incerteza_std
5703,29,20,18,24,11,3490,18,11,13,23,CCNC1:C:N(C#CC2SN([O][Na])C(C(=O)OCC)C2C(C)C):C(N):C(NC(C)=O):S:1,495.68845161274294,11.935875843362966
8550,43,8,2,15,14,5751,29,1,10,21,CN(C)C1N[SH](OC2:C:C(=C(C#N)C#N):C([SH](=O)=O):N:N:2N=O)C(Br)C1S(=O)(=O)[O][Na],495.68641799093996,35.07512524221677
396,2,5,1,26,17,2347,12,19,12,10,CN(C)C1:C:C:C(Cl):C(C=CC=CC=CC=CC2(C(=O)[O][Na]):C:C:C(S(=O)(=O)[O][Na]):C(O):N:2):C:1=O,495.6653118811093,14.977803499103526
4007,21,14,8,2,3,2517,13,8,25,21,N=C1:C(N=O):C(C=CC(=O)CC(=O)C=CC2:C:S([SH](=O)=O):C(N=O):C:S:2C(=O)O):C:C:S:1Br,495.64796535794795,24.985363602886217
2797,14,6,7,4,15,2476,13,9,14,16,CCC1:C:S:C(OC):C([N+](=O)O):C:1C=CC=CCC1:C:C:S(CN(CC(=O)O)CC(=O)O):C(C(=O)O):C:1N(CC)CC,495.64617096253204,14.152144273762104
9457,48,5,14,24,19,7503,38,23,16,20,CCNC1(C(=N)C2SC(Cl)[SH](C(=O)O)C2C(C)C)CCC([O][Na])[SH]1CN(CC(=O)O)CC(=O)O,495.5658915923244,32.289198322036526
3065,16,26,23,9,8,847,5,24,20,4,CCNC1:C(=O):N:C(=CC=S2(C(C)C):C:C:C:C(CC):C:2[O][Na]):C:N:1N(CC)CC,495.54232610850806,14.729885093927857
8935,45,13,19,16,4,2458,13,12,17,2,CC(=O)NC1:S:S:C(C=CC2(O):C:C:S(C(F)(F)F):C([SH](=O)=O):C:2):C(CN(CC(=O)O)CC(=O)O):C:1C(=O)[O][Na],495.50899072636037,24.597275357854336
919,5,14,24,6,10,7559,38,10,14,14,CC(C)C1:C:C(C(=O)O):S:C(=C2C(C(=O)O)CC(C(=O)O)[SH]2S(=O)(=O)[O][Na]):C:1[N+](=O)O,495.48725373910474,35.59409483145937
1878,10,2,9,3,16,5031,26,10,17,20,CCN(CC)C1:C:C([SH](=O)=O):C(C=CC=CC=C[SH]2CC([O][Na])C(C(F)(F)F)C2S(=O)(=O)[O][Na]):C:N:1C,495.4207424835816,20.601690273629277
3080,16,12,1,9,17,7479,38,15,12,25,CCN(CC)C1:N:C:C(C=CC=CC=CC=CC2C(=N)CC(O)S2=C(C#N)C#N):N(O):C:1N(C)C,495.3950851058268,29.975570530741834
6525,33,26,21,17,16,4005,21,4,15,21,CCS1(C=CC=CC=CC2(C(F)(F)F)C[SH](Br)CC2=O):C:C:S(=C(C#N)C#N):C(Br):C:1,495.37404643003026,26.050376343364224
1933,10,15,4,17,3,9517,48,23,6,23,CCNC1CS(C=CC(=O)CC(=O)C=CC2:C:C(=C(C#N)C#N):C(CC):N(C(F)(F)F):C:2)(NCC)C[SH]1[N+](=O)O,495.36056645228456,24.857255108264965
5668,29,10,24,9,1,2840,15,8,19,19,CCN(CC)C1CN(C(C)C)[SH](S(=O)(=O)[O][Na])C1N=NC1(N=O):C:C:C(C(=O)[O][Na]):C(C(=O)[O][Na]):S:1,495.33164633761845,19.729729388966494
4190,21,19,26,13,13,1853,10,5,8,20,CC(=O)NC1:S:C(=O):C(C(=O)[O][Na]):S:C:1C=CC=CC1(Cl):C:C:N(N=O):C([O][Na]):C:1,495.2477119895887,14.685035259369045
6661,34,17,1,15,7,9000,45,23,13,16,CCNS1(N=CC2CC(=C(C#N)C#N)N(N(C)C)C2C(F)(F)F):C:C:C(CN(CC(=O)O)CC(=O)O):C:S:1NC(C)=O,495.2224404997736,27.67949905042349
1254,7,4,23,18,13,4077,21,21,24,9,CCNC1:O:C(C(=O)OCC):C(C=CC=CS2(Br):C:C:S(N(CC)CC):C(C(C)C):C:2):C:C:1CC,495.2035551152286,10.554710009813201
964,5,13,24,2,19,9563,48,25,17,16,CC(=O)NS1:C(C(=N)[SH]2CS(=N)C(C(F)(F)F)C2CN(CC(=O)O)CC(=O)O):C:C:C([SH](=O)=O):C:1C(C)C,495.1408864271285,16.394961643422707
5330,27,17,22,6,13,5687,29,22,9,16,CCN(CC)C1CNS(C=CC=CC2([N+](=O)O)CCN(S(=O)(=O)O)N2C(F)(F)F)(S(=O)(=O)O)C1CN(CC(=O)O)CC(=O)O,495.1394960729714,17.752743698530132
4687,24,13,3,2,8,8881,45,5,19,14,CC(=O)NN1C(=CC=S2(Cl):C:C:C(C(=O)O):C:S:2C(=O)[O][Na])C([SH](=O)=O)CC1C,495.13655024442807,23.758259875505424
3073,16,19,12,26,20,4038,21,11,21,1,CC(C=CS1:C:C:S(N(C)C):C(Br):C:1N)=CC1:C:N:C(=O):C(O):N:1C(=O)[O][Na],495.10918743814864,24.476894173949844
6715,34,16,24,20,3,1606,9,21,4,26,CCC1:C(Br):O:C(C=CC(=O)CC(=O)C=CC2([O][Na])CN(CN(CC(=O)O)CC(=O)O)CC2C(C)C):C:C:1=O,495.09567240004105,26.265831817661045
5253,27,17,10,23,13,571,3,1,21,13,CCNC1C(C=CC=CN2:C:C:C(NC(C)=O):C(Br):C:2N(C)C)NN(C(F)(F)F)C1S(=O)(=O)[O][Na],495.0915579533104,11.01289918157888
9524,48,1,22,5,5,878,5,20,19,22,CN(C)[SH]1CSC(Cl)(N=S2([O][Na]):C:C:C(C(=O)[O][Na]):C(S(=O)(=O)O):C:2)C1S(=O)(=O)O,495.0801832554278,22.482256914181537
